partner_id,industry_gic2_code,partner_class_code,partner_gender,partner_name,partner_phone_number,partner_birth_year,partner_address,partner_open_date,partner_close_date
fc16f97f-5de7-4059-9e0d-fd98e13425c1,Individual,I,F,Nives Bosshard,041 536 74 12,1998-03-12,"Eggerstrasse 2
2685 Worb",2015-10-08,
8d5450d6-4c33-449f-9308-a3dd20a6ba7c,Individual,I,M,Ralf Isler,061 130 51 20,1986-02-25,"Lüthistrasse 104
6159 Locarno",2018-05-22,
cab1e0f6-2d3f-4ed5-a403-9ef561950b99,Individual,I,F,Raquel Braun,+41 71 796 91 36,1956-03-02,"Felberstrasse 8
9925 Schlieren",2017-10-11,
040e4d96-66fc-4721-bb97-075ad29c4d91,Individual,I,,Annelise Meili,+41 31 455 21 93,1960-08-27,"Bauerstrasse 913
6027 Kloten",2019-07-29,
610a7d59-bf6a-4e34-b6cd-2fbb6c79af3c,Individual,S,,,,,,2012-09-30,
ef24a533-f6bc-42e1-b483-9b91361226fd,Individual,I,F,Michelle Miller,833-755-3298x409,1996-12-24,"30021 Steele Throughway Suite 322
Lauraburgh, WI 45561",2015-08-14,
e05081bb-9a71-41e8-b36a-0e031e428232,Individual,I,F,Meghan Miller,288.531.3088x74472,1964-04-26,"0532 Baker Islands
Smithchester, UT 95292",2016-08-06,
2b6d2d1b-d664-4f7a-a6ab-6ac8b9aa5b1a,Individual,S,,,,,,2011-07-04,
0a73b228-fb62-4518-a291-9621c6964943,Individual,S,,,,,,2017-11-19,
e8e2d649-7fe8-4431-ae37-c7cea8fed367,Individual,S,,,,,,2021-02-23,
591b0a41-6caa-4b1c-ab83-04a3f7d56106,Individual,I,M,Tobias Lüscher,081 959 47 86,1972-02-04,"Staufferstrasse 11
4198 Männedorf",2016-07-21,
a1509c74-42c4-440b-8dc7-d54d848ba289,Individual,S,,,,,,2018-04-21,
2a32206d-8598-41f9-9384-9bc759c55ae3,Individual,I,M,Dimitrios Bühler,091 284 05 67,1960-09-20,"Burristrasse 37
6249 Thalwil",2012-06-15,
c109d2e7-5afe-4571-97aa-d5b37f9dbf61,Individual,I,M,Joël Mayer,022 881 75 76,1990-02-15,"Baurstrasse 790
9076 Bernex",2022-10-04,
3364866f-002f-4aba-b2e4-a63763e5fe88,Individual,I,F,Melinda Schmidt,+41 44 726 42 84,1954-08-05,"Martinstrasse 655
7544 Basel",2016-07-08,
2d6669a1-722d-41ca-b3a0-3928eb55fae0,Individual,I,M,Edon Schaller,055 656 45 25,1960-07-31,"Staubstrasse 98
5502 Köniz",2010-01-15,
226d1dfe-89cd-4283-942d-4229f398480b,Individual,I,F,Bluette Vogt,+41 34 484 52 08,1998-09-11,"Näfstrasse 716
3662 Dietikon",2018-07-26,
7e2d0147-19a2-48fc-9454-d34c1c41c65f,General medical practice activities,B,M,Schäfer GmbH,056 675 35 85,1999-04-04,"Suterstrasse 54
2460 Glarus",2013-09-15,
9004f513-897c-4cec-bf7d-d3daed9e1021,Individual,I,F,Michelle Clayton,204-478-7433x084,1983-04-06,"66317 Hernandez Overpass Apt. 588
Lake Adamfort, MS 42099",2018-08-02,
b41e9534-4f46-4489-880a-1a5f49bcee2e,Management of real estate,B,M,Probst GmbH,061 399 53 86,1991-05-19,"Wirzstrasse 79
4182 Sarnen",2014-07-15,
d4f80ec8-a3b6-403f-b81f-f78fa4c80e9f,Individual,S,,,,,,2022-03-26,
db250aa0-3365-4b7c-9551-0712459b5b63,Individual,S,,,,,,2015-07-06,
915a8af3-01d0-4b15-8ad3-d13e83726a5e,Individual,I,M,Moreno Schneider,+41 32 214 27 68,1977-11-04,"Lustenbergerstrasse 16
6668 Bulle",2014-10-30,
4ba56d04-7f2e-4855-9f68-3d2a33c52c84,Individual,I,F,Aferdita Graf,+41 81 008 03 84,1954-12-04,"Lanzstrasse 38
5328 Volketswil",2011-06-26,
a917712f-ed1c-433a-850c-250d3d19bb02,Individual,I,F,Monique Portmann,+41 71 735 35 34,1998-07-23,"Bühlmannstrasse 985
5729 Zug",2013-03-26,
2cfcac9c-862b-415a-b293-1cc85ad8661b,Individual,I,M,Tobias Schwarz,+41 26 138 70 96,1986-09-17,"Knechtstrasse 8
3235 Affoltern",2017-05-12,
ac24e4ad-3adc-45ec-ab43-63bb3d6d04af,Individual,I,F,Thérèse Leu,071 420 69 20,1977-06-18,"Bieristrasse 93
7255 Luzern",2017-03-02,
21d9f80a-48d8-4713-a9bf-657608f28dc2,Individual,S,,,,,,2015-01-06,
738a445e-8bdb-4d6c-8307-9b5a76e32895,Individual,I,M,Sebastian Jenni,+41 21 912 24 95,1976-12-25,"Kohlerstrasse 176
5866 Küsnacht",2013-11-27,
a78beeaf-c56d-42d3-aa80-f9d26f5f7a54,Individual,I,F,Delphine Scheidegger,033 706 40 12,1981-03-14,"Zimmermannstrasse 4
1311 Chur",2016-02-12,
1ea0f6f9-116d-40f0-8094-6126d92f9b9a,Individual,I,,Lena Frick,+41 91 202 37 38,1951-08-22,"Braunstrasse 507
1028 Rapperswil-Jona",2015-08-24,
7ea1566f-483f-4240-8211-645011e016b8,Individual,I,F,Krystyna Anders,0432921445,1989-05-03,"Pruschkeweg 1/4
09237 Demmin",2021-03-21,
43af1215-fdc3-4826-b17c-c61b42f12215,Individual,I,F,Angelica Lang,+41 61 062 75 68,2000-06-15,"Baumannstrasse 6
2561 Burgdorf",2017-01-07,
cd7e60da-7fd6-4172-9548-20d7598cd8f8,Individual,I,F,Stefanie Christen,+41 81 069 35 05,1995-07-26,"Widmerstrasse 69
9590 Bellinzona",2017-09-04,
4e07df11-4813-4562-8193-6d1eacf2261c,Individual,I,M,Gottfried Schneider,+41 21 749 51 19,1952-03-08,"Schneiderstrasse 22
9501 Langenthal",2016-07-28,
ce6f3596-4e36-4ec1-b26e-137be74be97a,Individual,I,F,Tatiana Tanner,091 302 19 22,1965-08-23,"Martistrasse 45
2408 Küssnacht",2011-01-18,
a07ab2cd-4727-4b0b-864d-a5c50df484e9,Individual,I,F,Simone Bühlmann,061 890 72 53,1970-01-07,"Seilerstrasse 1
3303 Lyss",2012-12-19,
2fa00442-a984-4378-aec6-4fd18dc3fb36,Individual,I,M,Mohamed Wirth,+41 61 027 35 21,1966-03-09,"Stutzstrasse 5
9929 Onex",2015-05-04,
f98ed76d-78f1-400b-84cf-35eaa61de664,Individual,I,F,Rosetta Brun,022 020 12 69,1960-10-29,"Schochstrasse 74
8094 Bern",2016-11-22,
b115f4ff-86fe-4f06-bd97-eadc9406c650,Construction engineering,B,F,Schenk Steiger GmbH,091 163 78 07,1976-11-19,"Hirtstrasse 31
7771 Ostermundigen",2021-06-01,
e4421339-a9b7-4cd9-ba1a-b63ce09940c5,Individual,I,M,Dragan Schürch,055 764 31 39,1961-10-22,"Zehnderstrasse 4
3517 Suhr",2019-07-30,
0307230b-30cc-4c72-9b52-63d59e37a0ad,Individual,I,,Enya Grob,062 320 11 16,2000-06-27,"Martinstrasse 41
9908 Neuhausen",2017-04-29,
a56766f4-14c4-456c-9001-c18044efe96d,Individual,I,F,Marlies Isler,021 625 34 58,1993-05-03,"Toblerstrasse 66
3861 Neuhausen",2019-04-18,
f565d050-20d1-450b-8532-67b390b38258,Individual,I,M,Lutz Hafner,+41 71 189 47 22,1988-03-14,"Brunstrasse 5
9768 Burgdorf",2013-04-18,
ad5d02be-dbbd-4816-99e6-4105a41e5d87,Individual,I,M,Hasan Häfliger,081 518 33 88,1969-06-12,"Zinggstrasse 95
8524 Frauenfeld",2012-02-13,
623dfdbd-6397-469e-acb9-36d9878aac14,Individual,I,,Alexa Mayer,+41 21 198 53 36,1984-08-30,"Schweizerstrasse 24
1255 Renens",2018-05-15,
de0899f9-f4ca-4be1-97aa-7c613e6764b4,Individual,S,,,,,,2022-01-27,
2d7cc51a-4acc-4b4b-b52c-e62cbc583eb8,Individual,I,,Manuela Lang,081 488 42 38,1953-12-18,"Hunzikerstrasse 74
9089 Nyon",2017-02-10,
edbfd5ed-82bc-4594-81fb-e342cf9e64b0,Individual,I,,Yolanda Ott,055 282 42 20,1996-04-07,"Friedlistrasse 9
7369 Villars-sur-Glâne",2013-11-04,
16af922b-95d2-4431-a02c-901ee23f5a03,Individual,I,F,Giada Schlatter,081 894 73 97,1984-08-21,"Geigerstrasse 9
8051 Neuenburg",2021-06-04,
852b1725-7658-4504-aae1-9d34871f2057,Individual,I,M,Dietmar Schneider,+41 61 871 32 37,2000-02-05,"Gutstrasse 3
4675 Veyrier",2018-05-20,
e1bd60ed-86e1-4b3d-80f8-effca42cd7fc,Individual,S,,,,,,2016-02-04,
803a2fed-478e-41be-8919-2af3b163fb6b,Individual,I,,Mira Hirt,055 282 32 53,1987-11-10,"Mayerstrasse 15
8718 Renens",2019-02-03,
6c7001ce-6390-4e44-b79a-009a1e328393,Individual,I,F,Mariangela Hoffmann,+41 81 569 50 62,1950-11-25,"Zürcherstrasse 53
7983 Lyss",2012-12-19,
a588dee5-eef1-4ce6-a2ae-daf8371b4432,Individual,I,M,Beda Bianchi,056 480 81 58,1974-08-08,"Haasstrasse 3
8518 Hinwil",2012-08-31,
93477916-2d3a-439f-b432-616d2285efaf,Individual,I,F,Mira Meyer,052 217 31 98,1985-04-11,"Geigerstrasse 21
1565 Lancy",2013-05-10,
e076c618-216a-4687-bb09-21651ad08ce9,Individual,I,F,Miranda Hotz,022 884 27 90,1998-09-20,"Joststrasse 702
1195 Brugg",2018-02-12,
660f8391-ab80-4372-a161-9a0e70dd3884,Individual,S,,,,,,2020-04-03,
2c8006b5-6c79-40d1-a6ae-8b025888bad3,Individual,I,M,Elio Hofmann,+41 27 843 16 92,1953-02-11,"Furrerstrasse 32
6245 Einsiedeln",2019-06-06,
eb9371d2-7306-4956-bde1-60e5b30e40a6,Individual,I,F,Ilaria Wolf,034 730 15 43,1999-02-25,"Itenstrasse 16
8012 Langenthal",2020-10-09,
851ed7d0-400e-48da-ac4d-c525b1357cce,Individual,I,F,Marianna Iten,043 680 41 06,1962-03-31,"Sidlerstrasse 8
3201 Glarus",2022-01-27,
8e1e0059-cf64-49e3-a01f-bd4533e85f43,Individual,I,M,Jean Baur,056 719 42 54,1958-12-18,"Schenkstrasse 82
9068 Carouge",2015-07-17,
f7a2b4d2-dc6d-4108-8257-084d7387993b,Individual,I,F,Cindy Bucher,055 323 20 68,1977-10-21,"Stockerstrasse 90
7250 Birsfelden",2022-05-10,
01a4d400-9202-4d86-ac28-57c390e775c5,Individual,I,M,Pierre Charpentier,04 82 63 34 89,1964-09-06,"10, rue Goncalves
23646 Guillon",2011-03-15,
6ae01c45-d015-49d1-a371-b2ec92a64d73,Individual,I,F,Ella Käser,091 180 23 52,1962-09-11,"Reystrasse 98
2789 Plan-les-Ouates",2010-06-14,
2407607c-f173-4d0e-bd58-42b35ce18784,Individual,S,,,,,,2012-01-08,
718f1b31-0e3b-4e5c-a8bf-bb0a5a665b96,"Accounting, bookkeeping activities",B,M,Ritter & Cie.,062 961 53 00,1961-07-10,"Hunzikerstrasse 6
7144 Wohlen",2016-12-04,
672fc285-5b9d-4f1a-9977-61d0b6fb4371,Individual,I,F,Thi Senn,+41 21 503 05 87,1962-03-27,"Scheideggerstrasse 9
4272 Urdorf",2022-08-18,
08eb831b-b660-4771-9a73-b3fa60a597ef,Individual,I,F,Nicola Scheidegger,033 041 72 66,1956-06-04,"Rüeggstrasse 2
1308 Regensdorf",2021-06-09,
39c50379-d2de-4be5-91dc-a4e38f9c9420,Individual,I,,Fabiana Lang,+41 31 648 88 66,1988-04-15,"Christenstrasse 22
6933 Herisau",2021-07-16,
8e549229-b11e-44fd-977e-604da5c103de,Individual,I,M,Timo Brunner,021 862 76 15,1985-10-07,"Friedlistrasse 94
5852 Arbon",2013-08-19,
8247558b-64b0-4de9-8116-2b619a9f107a,Individual,I,M,Rouven Bader,022 052 46 24,1972-06-13,"Wehrlistrasse 51
3055 Worb",2018-12-31,
25cf9550-94d0-4c47-bc0f-31ffc5a7ea57,Individual,I,F,Yara Meier,+41 27 934 63 56,1960-03-20,"Sidlerstrasse 67
6710 Freienbach",2010-01-28,
cb8c6613-4d9d-42b1-9bd7-0fd713977dd1,Individual,I,,María Knecht,+41 34 582 65 84,1976-09-26,"Meierstrasse 2
9327 Münchenstein",2015-07-18,
8a3557d3-ca75-4357-9199-5eca72fe80a9,Individual,I,F,Clémence Zbinden,+41 43 457 71 10,1969-12-29,"Reystrasse 77
2433 Nyon",2022-07-30,
746d1347-be1b-4752-87e8-1b1a62b0c090,Individual,I,F,Diana Forster,+41 81 856 53 94,1996-02-13,"Herzogstrasse 9
8155 Einsiedeln",2010-07-13,
3e376bb1-84ef-43f4-bc4b-e8eb84fd1bfa,Individual,I,M,Dirk Maier,027 327 45 85,1994-08-12,"Hodelstrasse 3
8522 Davos",2011-08-15,
80fc7122-0bea-4604-b6f0-bbba71aeffb8,Individual,I,F,Gabriela Lüthi,+41 43 674 84 53,1956-04-21,"Kägistrasse 26
1012 Morges",2016-10-25,
32f4c826-04ba-4790-9cce-ab8ad62272ae,Individual,I,M,Alois Berger,+41 33 658 06 70,2002-01-25,"Martistrasse 10
4113 Herisau",2015-02-01,
d7db6aba-9fa6-4606-b669-28d448efd1b9,Individual,I,M,Patrice Staub,+41 44 813 99 32,1976-02-17,"Tannerstrasse 74
4400 Rheinfelden",2010-04-23,
256ea2a9-8beb-48ac-8e85-f64ae7c49437,Individual,I,F,Ludivine Jost,+41 62 569 64 87,1965-01-15,"Kochstrasse 72
7720 Luzern",2014-10-04,
637aea5e-ff9e-418b-b348-b6b1ca7d38cb,Individual,I,F,Dora Peter,+41 43 400 27 96,1973-02-27,"Meisterstrasse 74
2322 Münsingen",2020-01-17,
975d2f5b-1116-4922-9e87-11ac43ac1540,Individual,I,F,Patricia Gross,+41 31 879 25 90,1963-12-11,"Käserstrasse 66
8586 Hinwil",2013-10-26,
5c07fec2-f34e-460e-aaa1-61c7a4b95ced,Individual,I,F,Paula Chapman,666-283-7148x0473,1971-12-22,"60779 Haynes Lakes Suite 541
Chaseshire, TN 24035",2019-09-30,
d4e3f2de-6993-4901-ac6d-d327d280f954,Individual,I,M,Tracy Patton,(251)833-9835x85240,1987-10-31,"467 Wang Lodge
Ronaldshire, MA 31799",2016-02-15,
0ef9e86a-34fd-4ec4-9ad3-eafc22380688,Individual,I,,Doris Geiger,+41 56 797 16 03,1976-10-10,"Beckstrasse 15
9229 Wohlen",2020-08-19,
b454ab9f-bce6-42f5-b026-e3bbff9dd415,Individual,I,F,Loredana Frick,056 296 78 83,1962-05-14,"Haasstrasse 65
3863 Emmen",2018-11-26,
9631cafe-be0a-4138-a15d-2d3979eab89b,Individual,I,F,Nadia Steiger,021 355 60 52,1967-08-31,"Wehrlistrasse 40
1948 Veyrier",2020-10-07,
fdf6d97c-96c3-4bcd-b520-ce8a16c7621d,Individual,I,M,Riccardo Wirz,081 283 31 38,1989-10-13,"Ritterstrasse 11
1207 Adliswil",2018-04-03,
b346be67-92b0-4a1a-a406-202ed1776a0b,Individual,I,F,Gloria Roth,+41 52 063 67 99,1981-09-30,"Wegmannstrasse 86
9287 Volketswil",2010-05-13,
2d883fb1-3195-4db8-9ebf-8c14dd2f3f43,"Creative, arts & entertainment act.",B,,Bucher GmbH,033 056 65 36,1968-06-24,"Bärstrasse 663
5899 Winterthur",2022-10-10,
2c2102f2-fb64-4674-b2bc-a413b7613959,Individual,I,F,Luce Gillet,+33 4 87 68 15 81,1969-03-07,"avenue Descamps
50849 Ollivier",2021-07-22,
44eacbee-bf19-4a06-ac02-dff5e7de7e9f,Individual,I,F,Shpresa Meister,+41 27 880 57 30,2001-04-11,"Fischerstrasse 40
9209 Schwyz",2019-09-10,
942114e3-6a77-4f58-9d95-1a028586fd5b,Individual,I,F,Raphaela Hug,+41 62 017 81 80,2000-04-03,"Bolligerstrasse 1
7056 Burgdorf",2018-03-08,
1767539c-a769-4ea2-8f28-e64e5646ee50,Individual,I,M,Constantin Mühle,+49(0)4990 90283,1985-04-07,"Weitzelstr. 98/61
99024 Melle",2019-01-07,
dee08010-996a-4516-a14c-e961e98e5c90,Individual,I,F,Jocelyne Grob,041 461 84 02,1983-07-23,"Friedlistrasse 66
7946 Belp",2010-11-08,
ba4df696-bdea-4b04-8d92-21cf7a134eae,Individual,S,,,,,,2012-02-27,
1d44a9b3-3b7e-49a5-9cf7-9b27e8135df5,Individual,I,M,Patrik Roth,091 919 47 68,1989-02-12,"Schmidstrasse 2
3035 Herisau",2011-02-06,
80bfbea3-ffa6-4385-b428-87373135805e,Individual,I,M,Zoltán Vogel,+41 52 178 05 68,1998-02-27,"Rüeggstrasse 92
9199 Bülach",2014-05-16,
0c4263e3-f8bc-434e-85c0-529dbb4e1798,Individual,I,F,Sara Forster,052 917 26 09,1985-09-18,"Eggerstrasse 26
7580 Langenthal",2010-05-02,
d97e54a7-756e-42ba-a8aa-0d560102160a,Individual,I,F,Clémence Jost,041 634 62 97,1999-12-09,"Wirthstrasse 24
5591 Pratteln",2012-01-21,
e75b5a9b-0b28-4856-8361-4fe9f66a2936,Individual,I,M,Erion Kägi,041 342 48 64,1956-09-01,"Wagnerstrasse 39
3185 Sursee",2012-11-25,
806db431-954f-4fa4-a769-69bd92dde574,Individual,I,M,Noé Frick,033 152 04 08,1980-07-28,"Gfellerstrasse 81
1387 Münchenstein",2021-05-30,
e85e5a03-b337-444e-bfb8-b5577830cf0a,Individual,I,M,Nathan Leunberger,+41 33 320 32 16,1958-06-26,"Meisterstrasse 56
3491 Val-de-Travers",2022-10-08,
17f4ed74-b689-455f-a38a-eba29e10df08,Individual,I,M,Janosch Burri,052 784 99 74,1959-04-10,"Herzogstrasse 714
1670 Risch",2018-11-13,
1b973782-adb1-4521-b82c-653482752125,Letting of own or leased land,B,M,Giger GmbH,+41 33 909 44 03,1964-11-23,"Schweizerstrasse 8
7258 Münchenbuchsee",2013-05-29,
2020cc93-71f4-4de4-b4a2-1f538b8a0339,Individual,I,M,Edmund Hofmann,022 875 74 14,1984-11-13,"Leunbergerstrasse 7
6381 Wetzikon",2010-03-17,
528b42d3-2fc8-46b8-8992-026e9ce86de5,Individual,I,F,Ava Winkler,+41 21 134 48 01,1977-05-27,"Fischerstrasse 59
2428 Münchenbuchsee",2012-10-06,
52592565-b18f-4af2-8f87-65b1c9596b48,Individual,I,F,Stephanie Vogel,+41 41 408 27 44,1967-08-16,"Hofmannstrasse 52
9693 Gossau",2018-12-27,
33191ba7-026e-469f-8f0c-1c7f3c37ef72,Individual,I,F,Marina Maurer,044 118 97 48,1999-09-22,"Stadelmannstrasse 601
1661 Hinwil",2016-03-25,
1ae226b0-b1cb-4b24-bb4c-587a8b54fd3d,Individual,I,M,Ljubisa Eichenberger,041 011 87 74,1979-04-15,"Kägistrasse 42
2300 Luzern",2011-03-29,
7b3be175-b606-4ee8-8b68-37838e75af1c,Individual,I,M,Raoul Wehrli,+41 62 947 92 74,1958-01-18,"Stuckistrasse 42
1216 Monthey",2012-02-05,
185804db-0b6f-4972-bde9-0a3640773111,Individual,I,F,Simona Brunner,+41 91 016 76 39,1997-02-25,"Merzstrasse 462
1680 Rheinfelden",2022-07-19,
cffba971-4083-48f0-b1ac-427b8413c623,Individual,I,F,Susanne Berger,0370942811,1995-05-04,"29, rue de Lévy
48584 Collet-sur-Léger",2014-02-06,
04688987-98ba-49b1-bf36-70587323a8bb,Individual,I,F,Viviana Schuler,024 539 08 92,1958-08-29,"Islerstrasse 93
7947 Frauenfeld",2020-10-21,
656f3751-2291-43bb-b719-9b4c863e0897,Individual,I,M,Nils Lüthi,+41 41 134 44 08,1957-07-15,"Staufferstrasse 4
5947 Allschwil",2020-03-21,
9ce84832-1371-4fa8-b136-3b0b3be445b8,Individual,I,F,Virginie Lüthi,062 124 34 81,1985-04-16,"Hauserstrasse 365
4892 Ecublens",2017-10-09,
a9c23f19-de78-4ff1-9928-216429ded9e1,Individual,S,,,,,,2023-03-13,
a3c243ca-5ae7-4383-9d87-046f4bcfdceb,Individual,I,F,Ela Schäfer,+41 31 900 96 16,1982-12-22,"Kohlerstrasse 387
1882 Regensdorf",2016-08-20,
5393ff18-1d85-4717-b9c2-748b07b07a9a,Individual,I,M,Ruben Scheidegger,041 023 12 85,1993-04-02,"Wagnerstrasse 292
4366 Dietikon",2015-04-20,
0e053281-b47a-42dd-9479-5db48b342c4f,Individual,I,M,Selim Lanz,+41 44 964 36 03,1989-05-22,"Roosstrasse 15
8626 Olten",2017-07-12,
6565b0f4-f70a-4fce-a37d-f0497c2be99f,Individual,I,,Rosmarie Eugster,+41 32 434 86 64,1989-12-23,"Staufferstrasse 18
5586 Ittigen",2020-02-09,
e995a0e4-3949-4fe5-bef9-53ed6d65c760,Individual,I,F,Simone Flückiger,062 352 80 87,1964-04-03,"Joststrasse 38
2510 Küsnacht",2013-01-08,
faa33ee0-0295-4e0e-8248-107a902f3e8a,Individual,I,M,Denis Steiger,022 030 51 43,1957-04-07,"Haslerstrasse 164
6155 Renens",2014-05-19,
922c89b4-5bce-44c1-b8d0-5b572157b633,Individual,I,M,Jean-Claude Schweizer,032 373 27 75,1962-10-25,"Schumacherstrasse 73
7164 Münchenstein",2018-08-27,
76378c9a-81ff-4eb5-b789-321cad9e2e95,Individual,I,M,Zoltan Kohler,026 875 29 58,2001-05-23,"Gfellerstrasse 229
2860 Le Grand-Saconnex",2020-10-20,
bd2b2fca-2cb3-42f8-babd-4cdfe20d5ca8,Individual,I,M,Silvio Braun,033 834 84 69,1995-11-18,"Brunstrasse 85
9066 Naters",2014-09-11,
674dcbe0-2e47-444c-8f65-484e368b3111,Individual,I,F,Irena Leunberger,+41 91 542 37 68,1962-10-20,"Kälinstrasse 386
9610 Männedorf",2021-05-12,
849f890a-771c-4516-9c79-c03c1f662bd4,Individual,I,M,Irfan Moser,+41 32 818 08 98,1985-01-21,"Bianchistrasse 9
7032 Opfikon",2016-02-22,
4aa4b80d-ca41-4d6f-826a-75b2b7041d08,Individual,S,,,,,,2022-12-04,
47b54fce-a0af-46cf-a49b-d1675f44ff93,Individual,I,F,Fatmire Bachmann,026 971 48 23,1953-06-15,"Wettsteinstrasse 62
8167 Gossau",2016-06-03,
e1c29d97-7326-47ff-9e05-df13de0be26b,Individual,I,F,Nadège Siegrist,061 393 26 07,1972-10-04,"Beckstrasse 63
8714 Riehen",2014-08-26,
62589db0-0a04-43bc-a838-4bac006642aa,Individual,I,M,Michael Brunner,081 905 75 60,1957-11-24,"Ernistrasse 19
1508 Onex",2017-04-25,
103fd5d3-2088-48bd-8ea5-bb78956b0370,Individual,I,M,Kemal Pfister,022 462 60 99,1965-05-25,"Wolfstrasse 652
1000 Bülach",2018-01-06,
4c9099d0-2428-4326-b690-92a6038bb1b8,Individual,I,F,Adriana Arnold,+41 21 280 63 17,1981-05-18,"Rothstrasse 95
6278 Küssnacht",2010-10-06,
7a1e38b8-aaf0-484d-9e2f-3aeee7e85b38,Individual,I,F,Gisela Huber,052 602 67 14,2000-08-29,"Thommenstrasse 24
9169 Thônex",2012-07-29,
de130e61-9c84-4f37-841e-fee4f04af3d0,Computer consultancy activities,B,M,Hoffmann AG,071 840 75 62,1988-09-15,"Siegriststrasse 15
1457 Liestal",2022-06-03,
84cc0a7f-4cd9-446f-a36b-8cf3c6941803,Individual,I,M,Reto Bühlmann,+41 43 520 54 31,1958-05-04,"Staufferstrasse 24
8729 Versoix",2014-11-19,
2bf8ec23-cc75-4a33-aab4-5a24e9f9d601,Individual,I,M,Steve Zbinden,061 464 33 27,1965-04-17,"Joststrasse 71
2726 Val-de-Ruz",2018-11-01,
e5cd6b1b-4ac2-4fa0-b847-678dfb6f02b7,Individual,I,F,Sanela Gasser,+41 34 244 07 07,1956-01-27,"Schmidtstrasse 47
3391 Grenchen",2012-09-12,
